year,airbnb_listings,hotel_wages,city,hotel_wages_millions
2014.0,1,1252848.0,Chicago,1252.848
2015.0,4,1449243.0,Chicago,1449.243
2016.0,20,1454926.0,Chicago,1454.926
2017.0,38,1514772.0,Chicago,1514.772
2018.0,73,1598462.0,Chicago,1598.462
2019.0,158,1692781.0,Chicago,1692.781
2020.0,192,869722.0,Chicago,869.722
2021.0,297,982423.0,Chicago,982.423
2022.0,1950,1499942.0,Chicago,1499.942
2023.0,3521,1692234.0,Chicago,1692.234
2023.0,3406,767345.0,Seattle,767.345
2014.0,102,4177506.0,New York,4177.506
2015.0,767,4068582.0,New York,4068.582
2016.0,1276,4210020.0,New York,4210.02
2017.0,1206,4450695.0,New York,4450.695
2018.0,1430,4678038.0,New York,4678.038
2019.0,2238,4574704.0,New York,4574.704
2020.0,2109,2518400.0,New York,2518.4
2021.0,1592,2551193.0,New York,2551.193
2022.0,8570,3809546.0,New York,3809.546
2023.0,13291,4378051.0,New York,4378.051
2014.0,45,2223452.0,Los Angeles,2223.452
2015.0,222,2377526.0,Los Angeles,2377.526
2016.0,432,2521225.0,Los Angeles,2521.225
2017.0,511,2652781.0,Los Angeles,2652.781
2018.0,841,2830935.0,Los Angeles,2830.935
2019.0,1638,2988527.0,Los Angeles,2988.527
2020.0,1574,1841907.0,Los Angeles,1841.907
2021.0,1799,2048336.0,Los Angeles,2048.336
2022.0,8714,3040194.0,Los Angeles,3040.194
2023.0,14995,3482382.0,Los Angeles,3482.382
2014.0,15,1203822.0,San Francisco,1203.822
2015.0,22,1288208.0,San Francisco,1288.208
2022.0,1984,1200321.0,San Francisco,1200.321
2023.0,2578,1399920.0,San Francisco,1399.92
